50,F280/12485,Emerald,J,0.93,VS2,EX,EX,None,0.673,0.63,6.37*4.69*3.16,GIA,1353142851,3200,-0.33,2144,1993.92,Feather
51,F165/13689,Emerald,I,0.91,SI1,VG,VG,None,0.745,0.65,6.01*4.53*3.37,GIA,2224355539,3600,-0.33,2412,2194.92,"Knot, Crystal"
52,F77/16920,Emerald,D,0.9,SI2,EX,EX,None,0.685,0.66,6.31*4.67*3.20,GIA,6265135998,4400,-0.36,2816,2534.4,"Crystal, Cloud, Feather"
53,F262/18684,Emerald,F,0.9,VVS1,EX,EX,Medium,0.655,0.69,6.23*4.61*3.02,GIA,7343079052,5800,-0.36,3712,3340.8,Indented Natural
54,F73/17396,Emerald,G,0.9,VS2,EX,G,None,0.752,0.6,6.18*4.43*3.33,GIA,6332836807,4700,-0.33,3149,2834.1,Feather
55,F43/16443,Emerald,I,0.9,VS1,EX,EX,None,0.686,0.66,6.00*4.68*3.21,GIA,7336994421,3900,-0.31,2691,2421.9,Feather
56,F56/13230,Emerald,G,0.83,SI1,EX,VG,None,0.619,0.72,6.37*4.81*2.98,GIA,2267704254,3200,-0.31,2208,1832.64,"Feather, Crystal"
57,F159/22932,Emerald,D,0.8,VVS1,VG,VG,None,0.712,0.61,6.17*4.19*2.98,GIA,1218825905,4800,-0.31,3312,2649.6,"Needle, Feather"
58,F78/14814,Emerald,H,0.74,VS1,EX,VG,None,0.642,0.62,6.12*4.45*2.86,GIA,2277138678,3300,-0.31,2277,1684.98,"Cloud, Feather"
59,F13/8748,Emerald,F,0.72,SI1,VG,GD,Medium,0.633,0.75,6.02*4.66*2.95,GIA,2175561857,3400,-0.3,2380,1713.6,"Crystal, Indented Natural"
60,F38/18522,Emerald,F,0.71,IF,EX,VG,None,0.624,0.7,5.19*5.06*3.16,GIA,7266094562,4600,-0.33,3082,2188.22,Minor Details of Polish
61,F151/15309,Emerald,J,0.71,VVS1,VG,VG,None,0.638,0.72,6.08*4.21*2.69,GIA,1263003513,2500,-0.18,2050,1455.5,"Cavity, Feather"
62,F186/12365,Emerald,F,0.7,VVS2,EX,VG,Medium,0.659,0.65,5.84*4.40*2.90,GIA,6322637552,4200,-0.32,2856,1999.2,"Cloud, Pinpoint"
63,F268/11070,Emerald,I,0.7,VVS1,EX,EX,None,0.679,0.61,5.99*4.21*2.86,GIA,1343251046,3000,-0.32,2040,1428,"Internal Graining, Pinpoint"
64,F7/14364,Emerald,D,0.51,VVS2,VG,VG,None,0.617,0.67,5.18*4.32*2.66,GIA,1269092937,3200,-0.31,2208,1126.08,"Pinpoint, Internal Graining"
65,F49/10584,Emerald,G,0.51,VVS2,EX,G,None,0.666,0.68,5.99*3.56*2.37,GIA,5273084965,2500,-0.31,1725,879.75,"Pinpoint, Needle, Surface Graining"
66,F32/8280,Emerald,I,0.51,VVS2,G,G,Faint,0.724,0.81,4.98*3.83*2.77,GIA,2151104066,2100,-0.31,1449,738.99,"Bruise, Feather"
67,F4/17010,Emerald,D,0.5,VVS1,EX,VG,None,0.725,0.64,5.14*3.66*2.65,GIA,6255596300,3400,-0.31,2346,1173,"Pinpoint, Feather, Cavity"
68,F17/10584,Emerald,D,0.5,SI1,EX,VG,None,0.717,0.69,4.83*4.01*2.88,GIA,6261174972,2500,-0.32,1700,850,Cloud
69,F52/11880,Emerald,F,0.5,VVS1,EX,VG,Strong,0.615,0.71,5.55*3.89*2.39,GIA,2298764639,2900,-0.32,1972,986,Pinpoint
70,F113/10692,Emerald,F,0.5,VVS1,VG,G,Medium,0.7,0.65,4.90*3.82*2.67,GIA,2296603014,2900,-0.32,1972,986,"Pinpoint, Internal Graining, Surface Graining"
71,F76/12142,Emerald,G,0.5,VVS1,VG,G,None,0.674,0.62,5.26*3.93*2.65,GIA,6272459107,2700,-0.3,1890,945,"Pinpoint, Feather"
72,F34/9720,Emerald,D,0.49,VS1,VG,VG,None,0.68,0.67,5.63*3.74*2.54,GIA,3255804620,2400,-0.32,1632,799.68,"Feather, Pinpoint"
73,F58/10584,Emerald,F,0.47,IF,EX,VG,None,0.673,0.67,5.15*3.48*2.58,GIA,6291804583,2600,-0.32,1768,830.96,Minor Details of polish
74,F66/5753,Emerald,J,0.44,VVS1,EX,VG,Medium,0.685,0.62,5.04*3.59*2.46,GIA,2336929531,1600,-0.32,1088,478.72,Pinpoint
